resuming from checkpoint at step 25000
corpus: 1,115,394 chars, vocab 65
will train for 2.0 hours with 8 workers

training...

step  25010 | loss  1.453 | 119.9 min left
step  25020 | loss  1.486 | 119.7 min left
step  25030 | loss  1.460 | 119.6 min left
step  25040 | loss  1.467 | 119.5 min left
step  25050 | loss  1.490 | 119.3 min left
step  25060 | loss  1.512 | 119.2 min left
step  25070 | loss  1.495 | 119.0 min left
step  25080 | loss  1.475 | 118.9 min left
step  25090 | loss  1.451 | 118.7 min left
step  25100 | loss  1.488 | 118.6 min left
step  25110 | loss  1.453 | 118.5 min left
step  25120 | loss  1.482 | 118.3 min left
step  25130 | loss  1.463 | 118.2 min left
step  25140 | loss  1.451 | 118.0 min left
step  25150 | loss  1.430 | 117.9 min left
step  25160 | loss  1.477 | 117.7 min left
step  25170 | loss  1.470 | 117.5 min left
step  25180 | loss  1.469 | 117.3 min left
step  25190 | loss  1.472 | 117.2 min left
step  25200 | loss  1.454 | 117.0 min left
step  25210 | loss  1.488 | 116.8 min left
step  25220 | loss  1.496 | 116.6 min left
step  25230 | loss  1.513 | 116.4 min left
step  25240 | loss  1.461 | 116.2 min left
step  25250 | loss  1.448 | 116.1 min left
step  25260 | loss  1.458 | 115.9 min left
step  25270 | loss  1.461 | 115.7 min left
step  25280 | loss  1.477 | 115.6 min left
step  25290 | loss  1.448 | 115.4 min left
step  25300 | loss  1.470 | 115.2 min left
step  25310 | loss  1.502 | 115.1 min left
step  25320 | loss  1.512 | 114.9 min left
step  25330 | loss  1.498 | 114.7 min left
step  25340 | loss  1.493 | 114.6 min left
step  25350 | loss  1.491 | 114.4 min left
step  25360 | loss  1.512 | 114.3 min left
step  25370 | loss  1.471 | 114.2 min left
step  25380 | loss  1.443 | 114.0 min left
step  25390 | loss  1.432 | 113.9 min left
step  25400 | loss  1.483 | 113.7 min left
step  25410 | loss  1.480 | 113.6 min left
step  25420 | loss  1.422 | 113.4 min left
step  25430 | loss  1.425 | 113.3 min left
step  25440 | loss  1.456 | 113.2 min left
step  25450 | loss  1.513 | 113.0 min left
step  25460 | loss  1.474 | 112.9 min left
step  25470 | loss  1.461 | 112.8 min left
step  25480 | loss  1.468 | 112.6 min left
step  25490 | loss  1.463 | 112.5 min left
step  25500 | loss  1.499 | 112.3 min left
step  25510 | loss  1.466 | 112.2 min left
step  25520 | loss  1.431 | 112.1 min left
step  25530 | loss  1.455 | 111.9 min left
step  25540 | loss  1.505 | 111.8 min left
step  25550 | loss  1.457 | 111.6 min left
step  25560 | loss  1.495 | 111.5 min left
step  25570 | loss  1.507 | 111.4 min left
step  25580 | loss  1.540 | 111.2 min left
step  25590 | loss  1.494 | 111.1 min left
step  25600 | loss  1.491 | 111.0 min left
step  25610 | loss  1.491 | 110.8 min left
step  25620 | loss  1.514 | 110.7 min left
step  25630 | loss  1.489 | 110.5 min left
step  25640 | loss  1.470 | 110.4 min left
step  25650 | loss  1.491 | 110.3 min left
step  25660 | loss  1.512 | 110.1 min left
step  25670 | loss  1.518 | 110.0 min left
step  25680 | loss  1.438 | 109.9 min left
step  25690 | loss  1.450 | 109.7 min left
step  25700 | loss  1.479 | 109.6 min left
step  25710 | loss  1.460 | 109.4 min left
step  25720 | loss  1.460 | 109.3 min left
step  25730 | loss  1.483 | 109.2 min left
step  25740 | loss  1.467 | 109.0 min left
step  25750 | loss  1.484 | 108.9 min left
step  25760 | loss  1.502 | 108.7 min left
step  25770 | loss  1.530 | 108.6 min left
step  25780 | loss  1.522 | 108.5 min left
step  25790 | loss  1.477 | 108.3 min left
step  25800 | loss  1.424 | 108.2 min left
step  25810 | loss  1.461 | 108.1 min left
step  25820 | loss  1.473 | 107.9 min left
step  25830 | loss  1.485 | 107.8 min left
step  25840 | loss  1.513 | 107.6 min left
step  25850 | loss  1.487 | 107.5 min left
step  25860 | loss  1.476 | 107.4 min left
step  25870 | loss  1.485 | 107.2 min left
step  25880 | loss  1.475 | 107.1 min left
step  25890 | loss  1.500 | 106.9 min left
step  25900 | loss  1.454 | 106.8 min left
step  25910 | loss  1.470 | 106.7 min left
step  25920 | loss  1.472 | 106.5 min left
step  25930 | loss  1.443 | 106.4 min left
step  25940 | loss  1.438 | 106.2 min left
step  25950 | loss  1.448 | 106.1 min left
step  25960 | loss  1.454 | 106.0 min left
step  25970 | loss  1.448 | 105.8 min left
step  25980 | loss  1.499 | 105.7 min left
step  25990 | loss  1.476 | 105.5 min left
step  26000 | loss  1.476 | 105.4 min left

--- sample ---
PETRUCHIO:
Rome, my lord, and good that should in thee see greed live; here is the sunge.

GLOUCESTER:
Mill I do do my
good wear Ancio canst coomes leave the eye look.

EXETER:
But was my sort, be sures to your sore.
Good look, or, call your voicess,
And I say hear still the brought give the bastard
--- end ---

step  26010 | loss  1.451 | 104.6 min left
step  26020 | loss  1.476 | 104.4 min left
step  26030 | loss  1.499 | 104.3 min left
step  26040 | loss  1.470 | 104.2 min left
step  26050 | loss  1.485 | 104.0 min left
step  26060 | loss  1.477 | 103.9 min left
step  26070 | loss  1.434 | 103.8 min left
step  26080 | loss  1.465 | 103.6 min left
step  26090 | loss  1.470 | 103.5 min left
step  26100 | loss  1.461 | 103.4 min left
step  26110 | loss  1.450 | 103.2 min left
step  26120 | loss  1.443 | 103.1 min left
step  26130 | loss  1.447 | 102.9 min left
step  26140 | loss  1.472 | 102.8 min left
step  26150 | loss  1.471 | 102.7 min left
step  26160 | loss  1.485 | 102.5 min left
step  26170 | loss  1.443 | 102.4 min left
step  26180 | loss  1.484 | 102.3 min left
step  26190 | loss  1.480 | 102.1 min left
step  26200 | loss  1.472 | 102.0 min left
step  26210 | loss  1.455 | 101.9 min left
step  26220 | loss  1.468 | 101.7 min left
step  26230 | loss  1.434 | 101.6 min left
step  26240 | loss  1.466 | 101.5 min left
step  26250 | loss  1.483 | 101.3 min left
step  26260 | loss  1.479 | 101.2 min left
step  26270 | loss  1.476 | 101.1 min left
step  26280 | loss  1.511 | 100.9 min left
step  26290 | loss  1.510 | 100.8 min left
step  26300 | loss  1.456 | 100.7 min left
step  26310 | loss  1.485 | 100.5 min left
step  26320 | loss  1.448 | 100.4 min left
step  26330 | loss  1.469 | 100.3 min left
