corpus     : 1,115,394 characters, vocab 65
model      : 4 layers, 4 heads, 128 dim
parallelism: 8 workers x 3 sequences = batch 24

parameters : 142 tensors

training...

step    10/25000 | loss  3.661 |  1.22 steps/s | ETA 342.1 min
step    20/25000 | loss  3.160 |  1.23 steps/s | ETA 337.2 min
step    30/25000 | loss  2.856 |  1.22 steps/s | ETA 341.2 min
step    40/25000 | loss  2.701 |  1.23 steps/s | ETA 339.3 min
step    50/25000 | loss  2.629 |  1.23 steps/s | ETA 337.3 min
step    60/25000 | loss  2.607 |  1.23 steps/s | ETA 338.9 min
step    70/25000 | loss  2.604 |  1.23 steps/s | ETA 338.1 min
step    80/25000 | loss  2.590 |  1.22 steps/s | ETA 339.2 min
step    90/25000 | loss  2.544 |  1.22 steps/s | ETA 339.6 min
step   100/25000 | loss  2.550 |  1.23 steps/s | ETA 338.6 min
step   110/25000 | loss  2.523 |  1.23 steps/s | ETA 337.7 min
step   120/25000 | loss  2.531 |  1.23 steps/s | ETA 337.3 min
step   130/25000 | loss  2.573 |  1.23 steps/s | ETA 336.6 min
step   140/25000 | loss  2.556 |  1.23 steps/s | ETA 336.2 min
step   150/25000 | loss  2.561 |  1.23 steps/s | ETA 335.7 min
step   160/25000 | loss  2.521 |  1.23 steps/s | ETA 336.2 min
step   170/25000 | loss  2.502 |  1.23 steps/s | ETA 335.7 min
step   180/25000 | loss  2.490 |  1.23 steps/s | ETA 335.1 min
step   190/25000 | loss  2.478 |  1.23 steps/s | ETA 334.9 min
step   200/25000 | loss  2.478 |  1.23 steps/s | ETA 335.1 min
step   210/25000 | loss  2.455 |  1.23 steps/s | ETA 334.8 min
step   220/25000 | loss  2.451 |  1.23 steps/s | ETA 334.5 min
step   230/25000 | loss  2.446 |  1.24 steps/s | ETA 334.1 min
step   240/25000 | loss  2.471 |  1.24 steps/s | ETA 333.7 min
step   250/25000 | loss  2.458 |  1.24 steps/s | ETA 333.8 min
step   260/25000 | loss  2.440 |  1.24 steps/s | ETA 333.5 min
step   270/25000 | loss  2.435 |  1.24 steps/s | ETA 333.2 min
step   280/25000 | loss  2.466 |  1.24 steps/s | ETA 333.6 min
step   290/25000 | loss  2.450 |  1.23 steps/s | ETA 333.9 min
step   300/25000 | loss  2.459 |  1.23 steps/s | ETA 334.2 min
step   310/25000 | loss  2.480 |  1.23 steps/s | ETA 334.4 min
step   320/25000 | loss  2.442 |  1.23 steps/s | ETA 335.0 min
step   330/25000 | loss  2.422 |  1.23 steps/s | ETA 335.3 min
step   340/25000 | loss  2.410 |  1.22 steps/s | ETA 335.5 min
step   350/25000 | loss  2.433 |  1.22 steps/s | ETA 335.8 min
step   360/25000 | loss  2.401 |  1.22 steps/s | ETA 336.0 min
step   370/25000 | loss  2.403 |  1.22 steps/s | ETA 336.2 min
step   380/25000 | loss  2.389 |  1.22 steps/s | ETA 336.5 min
step   390/25000 | loss  2.419 |  1.22 steps/s | ETA 336.7 min
step   400/25000 | loss  2.413 |  1.22 steps/s | ETA 336.8 min
step   410/25000 | loss  2.381 |  1.22 steps/s | ETA 336.8 min
step   420/25000 | loss  2.383 |  1.21 steps/s | ETA 337.2 min
step   430/25000 | loss  2.363 |  1.21 steps/s | ETA 337.6 min
step   440/25000 | loss  2.402 |  1.21 steps/s | ETA 337.7 min
step   450/25000 | loss  2.370 |  1.21 steps/s | ETA 337.8 min
step   460/25000 | loss  2.398 |  1.21 steps/s | ETA 338.2 min
step   470/25000 | loss  2.365 |  1.21 steps/s | ETA 338.3 min
step   480/25000 | loss  2.352 |  1.21 steps/s | ETA 338.4 min
step   490/25000 | loss  2.378 |  1.21 steps/s | ETA 338.5 min
step   500/25000 | loss  2.365 |  1.21 steps/s | ETA 338.6 min
step   510/25000 | loss  2.346 |  1.21 steps/s | ETA 338.7 min
step   520/25000 | loss  2.312 |  1.20 steps/s | ETA 338.9 min
step   530/25000 | loss  2.335 |  1.20 steps/s | ETA 339.2 min
step   540/25000 | loss  2.343 |  1.20 steps/s | ETA 339.5 min
step   550/25000 | loss  2.342 |  1.20 steps/s | ETA 339.9 min
step   560/25000 | loss  2.338 |  1.20 steps/s | ETA 340.1 min
step   570/25000 | loss  2.336 |  1.20 steps/s | ETA 340.3 min
step   580/25000 | loss  2.340 |  1.20 steps/s | ETA 340.4 min
step   590/25000 | loss  2.304 |  1.19 steps/s | ETA 340.6 min
step   600/25000 | loss  2.315 |  1.19 steps/s | ETA 341.0 min
step   610/25000 | loss  2.280 |  1.19 steps/s | ETA 341.1 min
step   620/25000 | loss  2.287 |  1.19 steps/s | ETA 341.3 min
step   630/25000 | loss  2.302 |  1.19 steps/s | ETA 341.5 min
step   640/25000 | loss  2.280 |  1.19 steps/s | ETA 341.7 min
step   650/25000 | loss  2.286 |  1.19 steps/s | ETA 341.7 min
step   660/25000 | loss  2.251 |  1.19 steps/s | ETA 341.8 min
step   670/25000 | loss  2.280 |  1.19 steps/s | ETA 341.8 min
step   680/25000 | loss  2.245 |  1.19 steps/s | ETA 341.8 min
step   690/25000 | loss  2.217 |  1.19 steps/s | ETA 341.9 min
step   700/25000 | loss  2.229 |  1.18 steps/s | ETA 341.9 min
step   710/25000 | loss  2.237 |  1.18 steps/s | ETA 341.9 min
step   720/25000 | loss  2.257 |  1.18 steps/s | ETA 341.9 min
step   730/25000 | loss  2.233 |  1.18 steps/s | ETA 341.9 min
step   740/25000 | loss  2.231 |  1.18 steps/s | ETA 341.8 min
step   750/25000 | loss  2.254 |  1.18 steps/s | ETA 341.8 min
step   760/25000 | loss  2.222 |  1.18 steps/s | ETA 341.7 min
step   770/25000 | loss  2.255 |  1.18 steps/s | ETA 341.6 min
step   780/25000 | loss  2.235 |  1.18 steps/s | ETA 341.6 min
step   790/25000 | loss  2.215 |  1.18 steps/s | ETA 341.5 min
step   800/25000 | loss  2.221 |  1.18 steps/s | ETA 341.4 min
step   810/25000 | loss  2.209 |  1.18 steps/s | ETA 341.3 min
step   820/25000 | loss  2.149 |  1.18 steps/s | ETA 341.3 min
step   830/25000 | loss  2.203 |  1.18 steps/s | ETA 341.4 min
step   840/25000 | loss  2.167 |  1.18 steps/s | ETA 341.4 min
step   850/25000 | loss  2.171 |  1.18 steps/s | ETA 341.4 min
step   860/25000 | loss  2.144 |  1.18 steps/s | ETA 341.5 min
step   870/25000 | loss  2.151 |  1.18 steps/s | ETA 341.6 min
step   880/25000 | loss  2.127 |  1.18 steps/s | ETA 341.7 min
step   890/25000 | loss  2.156 |  1.18 steps/s | ETA 341.8 min
step   900/25000 | loss  2.163 |  1.18 steps/s | ETA 341.8 min
step   910/25000 | loss  2.160 |  1.17 steps/s | ETA 341.8 min
step   920/25000 | loss  2.168 |  1.17 steps/s | ETA 341.8 min
step   930/25000 | loss  2.180 |  1.17 steps/s | ETA 341.9 min
step   940/25000 | loss  2.185 |  1.17 steps/s | ETA 341.9 min
step   950/25000 | loss  2.135 |  1.17 steps/s | ETA 341.9 min
step   960/25000 | loss  2.139 |  1.17 steps/s | ETA 341.8 min
step   970/25000 | loss  2.124 |  1.17 steps/s | ETA 341.8 min
step   980/25000 | loss  2.136 |  1.17 steps/s | ETA 341.7 min
step   990/25000 | loss  2.092 |  1.17 steps/s | ETA 341.8 min
step  1000/25000 | loss  2.143 |  1.17 steps/s | ETA 341.8 min

--- sample ---
Nos sor nore and thee. Kacefrar, sand a air to a trimeng ow brage;
Be cives'd suee ie fie icires eater,
Teere's an to theis treavels to he bre rurd shear
Tus to I sord Mard the Incom dis an so stread your sheing's as leamey ceiours! bast tare ttheen
ste the suxt branke wiell you 
--- end ---

step  1010/25000 | loss  2.135 |  1.12 steps/s | ETA 356.9 min
step  1020/25000 | loss  2.155 |  1.12 steps/s | ETA 356.5 min
step  1030/25000 | loss  2.142 |  1.12 steps/s | ETA 356.2 min
step  1040/25000 | loss  2.120 |  1.12 steps/s | ETA 355.8 min
step  1050/25000 | loss  2.109 |  1.12 steps/s | ETA 355.3 min
step  1060/25000 | loss  2.103 |  1.12 steps/s | ETA 354.9 min
step  1070/25000 | loss  2.097 |  1.12 steps/s | ETA 354.5 min
step  1080/25000 | loss  2.106 |  1.13 steps/s | ETA 354.2 min
step  1090/25000 | loss  2.103 |  1.13 steps/s | ETA 353.8 min
step  1100/25000 | loss  2.129 |  1.13 steps/s | ETA 353.4 min
step  1110/25000 | loss  2.121 |  1.13 steps/s | ETA 353.1 min
